日付タイプ,model,延べ台日,平均差枚,勝率%
曜:金,スロット ワールドダイスター,16,892.0,62.5
曜:金,回胴式遊技機グランベルム,30,874.8,56.7
曜:金,Lパチスロうみねこのなく頃に2,52,145.8,53.8
曜:金,スロット ソードアート・オンラインⅡ,212,896.3,51.9
曜:金,スマスロ ゴッドイーター リザレクション,12,842.7,50.0
曜:金,L東京喰種,345,428.6,48.7
曜:金,マイジャグラーV,125,194.4,47.2
曜:金,L ToLOVEるダークネス,630,384.1,43.7
曜:金,スマスロ 甲鉄城のカバネリ 海門決戦,221,65.6,43.4
曜:金,Lソードアート・オンライン,240,192.6,43.3
曜:金,スマスロ スーパーリオエース2,189,176.2,41.8
曜:金,Lパチスロ革命機ヴァルヴレイヴ2,208,-69.3,41.8
曜:金,Lアズールレーン THE ANIMATION,120,473.9,41.7
曜:金,L少女☆歌劇 レヴュースタァライト -The SLOT-,96,32.1,41.7
曜:金,Lパチスロ炎炎ノ消防隊2,186,135.7,41.4
曜:金,L虚構推理,97,125.8,41.2
曜:金,戦国コレクション6,80,192.0,41.2
曜:金,L戦国乙女5 業火を穿つ宿焔の双刃,348,-82.2,41.1
曜:金,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,39,358.5,41.0
曜:金,アニマルスロット ドッチ,30,-111.2,40.0
曜:金,L無職転生～異世界行ったら本気だす～,105,994.3,40.0
曜:金,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,645,267.5,40.0
曜:金,Lパチスロガールズ＆パンツァー 最終章,105,46.0,40.0
曜:金,スマスロ スーパーブラックジャック,210,252.7,39.0
曜:金,スロット ゾンビランドサガ,90,66.1,38.9
曜:金,スマスロモンキーターンV,93,404.5,38.7
曜:金,スマスロとある科学の超電磁砲2,88,34.1,38.6
曜:金,スマスロ化物語,255,205.7,38.4
曜:金,スマスロ 攻殻機動隊,84,250.8,36.9
曜:金,スマスロ とある魔術の禁書目録2,68,-373.2,36.8
曜:金,Lバンドリ！,150,372.3,36.7
曜:金,スマスロ 七つの魔剣が支配する,30,166.9,36.7
曜:金,スマスロ ミリオンゴッド-神々の軌跡-,134,-382.6,36.6
曜:金,ネオアイムジャグラーEX,25,191.2,36.0
曜:金,真打 吉宗,118,-496.0,33.9
曜:金,スマスロ シャーマンキング,30,-200.9,33.3
曜:金,L邪神ちゃんドロップキック,24,-1123.8,33.3
曜:金,スマスロ とんでもスキルで異世界放浪メシ,24,-7.2,33.3
曜:金,L戦国乙女４　戦乱に閃く炯眼の軍師,72,-428.5,30.6
曜:金,スマスロBIRDIE WING-Golf Girls’ Story-,14,-661.6,28.6
曜:金,スマスロヨルムンガンド,24,-138.3,25.0
曜:金,スマスロ ストリートファイター6,8,-61.2,25.0
曜:金,スマスロ やじきた道中記参る！,8,-1326.5,25.0
曜:金,スマスロ バイオハザードRE:3,60,-407.4,23.3
曜:金,Lタクトオーパス デスティニー,30,-1316.8,23.3
曜:金,Lパチスロ かぐや様は告らせたい,37,-799.1,21.6
曜:金,L南国育ち SPECIAL,8,-1509.5,12.5
末尾:0,ネオアイムジャグラーEX,15,442.0,53.3
末尾:0,マイジャグラーV,85,22.3,51.8
末尾:0,スマスロ スーパーブラックジャック,140,591.0,50.7
末尾:0,回胴式遊技機グランベルム,20,462.3,50.0
末尾:0,Lパチスロうみねこのなく頃に2,34,4.2,50.0
末尾:0,スマスロ とんでもスキルで異世界放浪メシ,18,1110.7,50.0
末尾:0,Lソードアート・オンライン,160,420.5,47.5
末尾:0,L無職転生～異世界行ったら本気だす～,70,1094.1,47.1
末尾:0,L ToLOVEるダークネス,420,609.1,46.9
