日付タイプ,model,延べ台日,平均差枚,勝率%
曜:木,チバリヨ2,45,-124.9,26.7
曜:木,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,90,179.5,26.7
曜:木,いざ！番長,45,-146.8,26.7
曜:木,プリズムナナ,12,553.5,25.0
曜:木,スマスロBIRDIE WING-Golf Girls’ Story-,12,-172.2,25.0
曜:木,Lパチスロからくりサーカス2,72,-422.1,25.0
曜:木,ヤバチバ,24,-302.5,25.0
曜:木,スマスロ やじきた道中記参る！,16,-283.0,25.0
曜:木,L ToLOVEるダークネス TRANCE ver.8.7,45,-380.8,24.4
曜:木,L主役は銭形5,33,-9.6,24.2
曜:木,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,22,290.6,22.7
曜:木,スマスロ ミリオンゴッド-神々の軌跡-,150,-731.1,22.7
曜:木,スマスロ スーパーリオエース2,59,-113.3,22.0
曜:木,スマスロヨルムンガンド,14,-304.1,21.4
曜:木,スマスロ スーパーブラックジャック,30,-207.0,20.0
曜:木,Lパチスロ かぐや様は告らせたい,28,246.5,17.9
曜:木,スマスロ 東京リベンジャーズ,45,-261.3,17.8
曜:木,L戦国乙女４　戦乱に閃く炯眼の軍師,53,-13.6,17.0
曜:木,スマスロとある科学の超電磁砲2,12,-41.8,16.7
曜:木,スマスロ鉄拳6,12,-273.7,16.7
曜:木,Lパチスロからくりサーカス,21,-377.9,14.3
曜:木,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,9,-329.0,11.1
曜:木,スマスロ シャーマンキング,18,523.8,11.1
曜:木,ローティス,8,-1334.2,0.0
曜:水,ミスタージャグラー,42,244.7,57.1
曜:水,スマスロ ストリートファイター6,16,307.5,56.2
曜:水,マイジャグラーV,672,300.1,52.7
曜:水,沖ドキ！ＧＯＬＤ-30,224,-165.2,51.3
曜:水,A-SLOT+ ディスクアップ ULTRAREMIX,20,444.7,50.0
曜:水,沖ドキ！BLACK,56,22.7,50.0
曜:水,Lソードアート・オンライン,10,-5.5,50.0
曜:水,ハッピージャグラーＶＩＩＩ,57,359.9,49.1
曜:水,ウルトラミラクルジャグラー,56,200.4,44.6
曜:水,沖ドキ！ＧＯＬＤ,18,432.0,44.4
曜:水,スマスロ 沖ドキ!DUO アンコール,50,185.4,44.0
曜:水,スマスロ新鬼武者3,16,116.8,43.8
曜:水,ファンキージャグラー２ＫＴ,111,125.5,43.2
曜:水,ニューキングハナハナV‐30,42,160.8,42.9
曜:水,スマスロ ビッグドリーム THE GOLDEN PUSHER,26,-400.2,42.3
曜:水,ネオアイムジャグラーEX,364,187.2,42.0
曜:水,沖ドキ!ゴージャス 30Φ,98,-160.4,41.8
曜:水,ゴーゴージャグラー３,196,100.6,40.8
曜:水,スマスロ 甲鉄城のカバネリ 海門決戦,196,159.4,39.8
曜:水,L東京喰種,244,159.2,39.3
曜:水,ジャグラーガールズSS,70,-16.4,38.6
曜:水,ヤバチバ,24,-417.5,37.5
曜:水,L戦国乙女5 業火を穿つ宿焔の双刃,96,-222.7,36.5
曜:水,スマート沖スロ ニューキングハナハナV,69,-108.9,36.2
曜:水,スマスロモンキーターンV,108,231.4,36.1
曜:水,L ToLOVEるダークネス TRANCE ver.8.7,42,55.3,35.7
曜:水,スマスロ ゴッドイーター リザレクション,42,363.6,35.7
曜:水,スマスロ ハナビ,48,-125.0,35.4
曜:水,アレックス ブライト,20,-5.5,35.0
曜:水,Lパチスロうみねこのなく頃に2,20,70.2,35.0
曜:水,Lパチスロ炎炎ノ消防隊2,84,179.5,34.5
曜:水,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,42,107.1,33.3
曜:水,Lパチスロからくりサーカス2,72,-396.4,33.3
曜:水,スマスロ 攻殻機動隊,56,-290.9,32.1
